station_code,latitude,longitude,elevation,network_code
BELE,9.9761,-84.1878,908.0,TC
BITO,9.6182,-84.621,24.0,TC
BRIB,9.62,-82.8178,43.0,TC
BURE,9.1727,-83.3376,387.0,TC
CARI,10.3708,-83.7268,73.59999847,TC
CAYA,9.9167,-83.8112,1840.0,TC
CBL1,9.5884,-85.0919,43.0,TC
CENT,9.9729,-84.0044,1187.0,TC
CHIL,11.0315,-84.7101,58.0,TC
CNAS,10.5281,-85.2589,56.0,TC
CNG1,10.8847,-84.7914,60.0,TC
CORO,9.9732,-84.0028,1427.400024,TC
CRUZ,11.0787,-85.6329,258.0,TC
CVT1,10.0146,-83.7593,3120.0,TC
CVTC,10.0183,-83.7599,3306.0,TC
CVTQ,10.0045,-83.7673,2837.0,TC
CVTR,10.02,-83.7593,3225.0,TC
CVTV,10.0041,-83.7493,2561.0,TC
DELF,10.4447,-85.553,27.0,TC
DOMI,9.9817,-84.0905,1203.699951,TC
DRK0,9.2632,-83.245,1468.0,TC
EDIA,9.999,-84.1236,1181.0,TC
EGUA,10.2123,-83.5897,46.0,TC
ELI1,10.645,-85.5528,82.0,TC
ENAS,9.9787,-84.8353,16.0,TC
ERIA,10.6343,-85.4399,164.0,TC
FITO,8.6256,-83.1544,21.0,TC
GREC,10.0742,-84.309,1016.0,TC
ICC1,5.5439,-87.0551,10.0,TC
ICC2,5.5479,-87.0433,22.0,TC
ICC3,5.5434,-87.0569,5.0,TC
ICCO,5.5437,-87.0566,10.0,TC
ICR3,9.98,-83.8368,3370.0,TC
IRES,10.0962,-83.5047,83.90000153,TC
ITAL,10.4494,-84.2437,169.6999969,TC
JIME,8.5372,-83.3135,29.0,TC
JUNT,10.2817,-84.9587,157.0,TC
LCR2,9.7415,-84.0053,1704.0,TC
LIMO,9.9936,-83.0271,38.0,TC
LUJA,9.9195,-84.0553,1196.0,TC
LUPE,9.948,-84.055,100.0,TC
MARA,10.0195,-85.4255,629.0,TC
MEXI,9.9419,-84.0859,1158.0,TC
NARA,10.0978,-84.377,1059.0,TC
NELY,8.6477,-82.9417,67.0,TC
NICO,10.1452,-85.453,139.0,TC
OROT,9.9053,-84.5242,229.0,TC
PALA,10.0545,-84.4345,1018.0,TC
PANO,8.96,-83.4584,33.0,TC
PAQE,9.8195,-84.9338,46.0,TC
PARA,9.8352,-83.8669,1344.400024,TC
PAVA,9.9402,-84.1187,1104.0,TC
PILE,10.2158,-83.7898,308.6000061,TC
PIRO,8.4109,-83.3195,235.0,TC
PLVR,10.3475,-85.3507,-83.0,TC
POAS,10.0743,-84.2437,1154.0,TC
PTJ1,8.5357,-83.3023,20.0,TC
PURI,9.8472,-84.3112,1121.0,TC
QUEP,9.431,-84.164,10.0,TC
QUES,10.3217,-84.4305,678.0,TC
RAFA,9.9582,-83.8112,2575.0,TC
RAMO,10.0871,-84.4671,1069.0,TC
RAZU,9.6592,-84.0233,1450.0,TC
REPA,9.8276,-83.8689,1334.0,TC
RGM0,9.5902,-82.6074,17.0,TC
RITA,9.521,-84.331,10.0,TC
ROBE,9.9864,-84.7302,33.0,TC
SACU,10.2626,-85.5844,66.0,TC
SANA,9.934,-84.185,906.0,TC
SARA,10.4521,-84.0201,48.29999924,TC
SARC,10.0902,-84.346,974.0,TC
SJS1,9.939,-84.054,1226.0,TC
SOCE,10.3833,-84.6184,450.0,TC
SRA1,10.085,-84.4803,1101.0,TC
TAAN,10.0809,-83.3403,23.20000076,TC
TAGO,9.866,-83.9237,1448.400024,TC
TCS0,10.0421,-84.2998,902.0,TC
TCS1,10.0421,-84.2998,629.0,TC
TEVE,10.3197,-84.8269,1392.0,TC
TIBA,9.9622,-84.0723,1221.0,TC
TILA,10.4684,-84.9697,570.0,TC
TRB1,9.9138,-84.4483,369.0,TC
TRB2,9.9138,-84.4483,369.0,TC
TRIO,9.9051,-83.9942,1338.5,TC
TRT1,10.5984,-83.6993,63.0,TC
TRT2,10.5574,-83.7353,46.0,TC
TUNA,10.4694,-84.6442,266.0,TC
TURI,9.9066,-83.6862,692.2999878,TC
UELA,10.0188,-84.2107,983.0,TC
UPAL,10.8972,-85.0123,62.0,TC
VINA,9.8948,-83.7464,1198.699951,TC
VITO,8.8216,-82.9671,994.0,TC
VORI,10.8201,-85.3465,1508.0,TC
VPS5,10.1903,-84.232,2601.0,TC
VPS6,10.1903,-84.232,2601.0,TC
VPS7,10.186,-84.236,2572.0,TC
VTUQ,10.004,-83.767,2823.0,TC
YURE,10.0149,-85.2589,88.0,TC
ZARE,10.1839,-84.39,1780.0,TC
ZELE,9.3743,-83.7054,729.0,TC
ATD,11.53,42.847,610.0,IM
BATI,-10.206,123.6627,340.0,IM
BR101,39.7254,33.6391,1438.0,IM
BR101,39.7254,33.6391,1438.0,IM
BR102,39.7355,33.6486,1511.0,IM
BR102,39.7355,33.6486,1511.0,IM
BR103,39.7196,33.657,1471.0,IM
BR103,39.7196,33.657,1471.0,IM
BR104,39.7074,33.6414,1377.0,IM
BR104,39.7074,33.6414,1377.0,IM
BR105,39.718,33.6173,1445.0,IM
BR105,39.718,33.6173,1445.0,IM
BR106,39.7338,33.618,1365.0,IM
BR106,39.7338,33.618,1365.0,IM
BR131,39.725,33.639,1440.0,IM
BR131,39.725,33.639,1440.0,IM
BR131,39.725,33.639,1440.0,IM
BR231,39.8417,32.776,1258.0,IM
BR231,39.8417,32.776,1258.0,IM
CM01,18.4205,98.9588,292.4,IM
CM01,18.420664,98.959054,295.2,IM
CM02,18.4344,98.9466,305.3,IM
CM02,18.434374,98.94682,310.3,IM
CM03,18.4263,98.9762,304.3,IM
CM03,18.426302,98.97649,307.9,IM
CM04,18.3997,98.9789,335.8,IM
CM04,18.39966,98.979136,349.1,IM
CM05,18.4013,98.9451,336.0,IM
CM05,18.401368,98.945342,340.5,IM
CM06,18.4156,98.9406,332.0,IM
CM06,18.415666,98.940892,336.1,IM
CM07,18.4337,98.9304,301.7,IM
CM07,18.433758,98.930665,307.4,IM
CM08,18.4453,98.9577,295.1,IM
CM08,18.445326,98.957911,303.4,IM
CM09,18.4439,98.9908,345.1,IM
CM09,18.443862,98.991025,350.4,IM
CM10,18.4298,99.0019,340.8,IM
CM10,18.429779,99.002123,344.6,IM
CM11,18.3756,98.9604,320.4,IM
CM11,18.375651,98.960611,324.4,IM
CM12,18.4061,98.9254,330.2,IM
CM12,18.406043,98.925686,334.1,IM
CM13,18.4211,98.9069,303.3,IM
CM13,18.421229,98.907124,324.1,IM
CM14,18.4361,98.9136,321.7,IM
CM14,18.436083,98.913914,360.7,IM
CM15,18.4524,98.9245,323.5,IM
CM15,18.45245,98.924633,326.9,IM
CM16,18.4575,98.9429,358.0,IM
CM16,18.457454,98.942992,311.3,IM
CM17,18.4577,98.9624,325.0,IM
CM17,18.45772,98.962657,328.8,IM
CM18,18.461,98.983,314.0,IM
CM18,18.461034,98.983248,316.3,IM
CM31,18.4575,98.9429,306.6,IM
CM31,18.4576,98.94315,308.3,IM
CPUP,-26.3306,-57.3292,5.0,IM
CPUP,-26.3307,-57.331,134.5,IM
JAY,-2.51427,140.70325,280.0,IM
KMBO,-1.1268,37.2523,1940.0,IM
KS31,37.4421,127.8844,109.0,IM
KS31,37.4421,127.8844,109.0,IM
MK01,46.77,82.3003,609.4,IM
MK02,46.7694,82.3086,639.0,IM
MK03,46.7656,82.3015,630.8,IM
MK04,46.7715,82.2951,589.9,IM
MK05,46.7937,82.2913,615.4,IM
MK06,46.7751,82.3133,637.7,IM
MK07,46.7538,82.3156,627.9,IM
MK08,46.7561,82.2866,607.6,IM
MK09,46.7744,82.2769,579.9,IM
MK31,46.7937,82.2904,615.4,IM
MK32,46.7937,82.2904,615.4,IM
PMG,-9.4092,147.1539,67.0,IM
ROSC,4.844856,-74.321203,2987.0,IM
TOA0,13.14771,1.6947087,214.3,IM
TOC1,13.17209,1.7017274,233.3,IM
TOC2,13.15683,1.7203938,221.8,IM
TOC3,13.13697,1.7205485,214.3,IM
TOC4,13.1216,1.699412,231.7,IM
TOC5,13.12817,1.675087,231.5,IM
TOC6,13.1483,1.6655435,225.6,IM
TOC7,13.16375,1.6786998,224.6,IM
USA0B,44.1999,131.9887,170.0,IM
WSAR,23.239,58.6307,326.0,IM
YKB0,62.6059,-114.605,221.6,IM
YKB0,62.6059,-114.606,194.2,IM
YKB1,62.4024,-114.6054,172.5,IM
YKB1,62.4023,-114.6063,145.1,IM
YKB2,62.4247,-114.6054,180.5,IM
YKB2,62.4247,-114.6063,150.3,IM
YKB3,62.4486,-114.6052,187.6,IM
YKB3,62.4485,-114.6061,158.2,IM
YKB4,62.4711,-114.6049,192.9,IM
YKB4,62.4709,-114.6058,163.8,IM
YKB6,62.5165,-114.605,202.6,IM
YKB6,62.5164,-114.6057,173.6,IM
YKB7,62.539,-114.6053,204.4,IM
YKB7,62.5389,-114.6061,176.6,IM
YKB8,62.5616,-114.6047,197.9,IM
YKB8,62.5615,-114.6055,171.0,IM
YKB9,62.583,-114.6039,213.0,IM
YKB9,62.5829,-114.6047,187.1,IM
YKR1,62.4927,-114.9456,170.0,IM
YKR1,62.4928,-114.9445,141.1,IM
YKR2,62.4928,-114.8964,175.0,IM
YKR2,62.4928,-114.8959,145.0,IM
YKR3,62.493,-114.8477,176.8,IM
YKR3,62.4929,-114.8476,146.2,IM
YKR4,62.4927,-114.7995,173.4,IM
YKR4,62.4927,-114.7998,148.9,IM
YKR5,62.4933,-114.7499,182.9,IM
YKR5,62.4932,-114.7504,154.2,IM
YKR6,62.4933,-114.7014,192.2,IM
YKR6,62.4932,-114.702,161.0,IM
YKR7,62.4934,-114.6537,198.9,IM
YKR7,62.4932,-114.6544,167.5,IM
YKR8,62.4932,-114.6053,196.7,IM
YKR8,62.4931,-114.6062,166.7,IM
YKR9,62.4931,-114.5557,201.1,IM
YKR9,62.493,-114.5565,171.7,IM
YKW1,62.4931,-114.5086,205.0,IM
YKW1,62.4822,-114.4843,170.7,IM
YKW2,62.4248,-114.6054,200.0,IM
YKW2,62.4337,-114.6038,143.8,IM
YKW3,62.5608,-114.6164,180.0,IM
YKW3,62.5616,-114.6099,170.3,IM
YKW4,62.4922,-114.7419,200.0,IM
YKW4,62.4925,-114.7432,160.6,IM
ZAA0,53.948063,84.818807,229.41,IM
ZAA0B,53.948051,84.818784,229.432,IM
ZAA1,53.952416,84.819022,246.232,IM
ZAA2,53.943938,84.823645,207.146,IM
ZAA3,53.947681,84.809064,242.787,IM
ZAB1,53.963683,84.830746,245.156,IM
ZAB2,53.948834,84.846211,253.709,IM
ZAB3,53.936771,84.834197,233.972,IM
ZAB4,53.937693,84.798474,199.534,IM
ZAB4,53.937693,84.798474,199.534,IM
ZAB5,53.956621,84.797229,195.779,IM
AS01,-23.6647,133.9508,605.0,AU
AS01,-23.663224,133.95199,621.5,AU
AS02,-23.6792,133.9369,619.0,AU
AS02,-23.677631,133.93822,636.7,AU
AS03,-23.6744,133.9197,643.3,AU
AS03,-23.672871,133.92126,660.2,AU
AS04,-23.6597,133.9292,666.3,AU
AS04,-23.658175,133.93048,683.5,AU
AS05,-23.6492,133.9475,683.2,AU
AS05,-23.647756,133.94893,700.1,AU
AS06,-23.6475,133.9714,663.2,AU
AS06,-23.646206,133.97251,681.3,AU
AS07,-23.6656,133.9697,613.7,AU
AS07,-23.664037,133.97114,630.2,AU
AS08,-23.6814,133.96,594.3,AU
AS08,-23.679935,133.96115,611.1,AU
AS09,-23.6994,133.9414,591.2,AU
AS09,-23.698005,133.94256,608.1,AU
AS10,-23.6969,133.9139,607.4,AU
AS10,-23.695526,133.91519,624.0,AU
AS11,-23.6783,133.8978,608.3,AU
AS11,-23.67687,133.89897,607.9,AU
AS11,-23.67687,133.89897,616.8,AU
AS12,-23.6664,133.9044,607.4,AU
AS12,-23.664895,133.90573,623.7,AU
AS13,-23.6519,133.8944,603.9,AU
AS13,-23.65054,133.89569,620.8,AU
AS14,-23.6517,133.9103,619.6,AU
AS14,-23.650325,133.91164,637.3,AU
AS15,-23.6356,133.9122,668.7,AU
AS15,-23.634046,133.91341,685.8,AU
AS16,-23.6369,133.93,675.8,AU
AS16,-23.635466,133.93128,693.0,AU
AS17,-23.6644,133.9917,614.6,AU
AS17,-23.663127,133.99283,633.1,AU
AS18,-23.69,133.9808,591.7,AU
AS18,-23.68858,133.98202,607.9,AU
AS19,-23.7044,133.9625,576.7,AU
AS19,-23.702838,133.96378,593.5,AU
AS31,-23.665134,133.90526,627.3,AU
CTA,-20.0885,146.254,358.0,AU
CTA,-20.0876,146.25,427.0,AU
FITZ,-18.103,125.643,110.0,AU
FITZ,-18.102,125.639,110.0,AU
FITZ,-18.09826,125.6403,129.0,AU
MAW,-67.6046,62.8713,12.0,AU
NWAO,-32.9277,117.239,353.6,AU
STKA,-31.8743,141.5964,255.0,AU
STKA,-31.87568,141.59644,255.0,AU
WB1,-19.9595,134.3463,421.7,AU
WB1,-19.959444,134.34642,393.5,AU
WB10,-19.767142,134.39283,362.1,AU
WB2,-19.9428,134.351,425.0,AU
WB2,-19.942753,134.35112,388.0,AU
WB3,-19.923,134.3554,415.5,AU
WB3,-19.92302,134.35546,384.2,AU
WB4,-19.9035,134.3591,408.5,AU
WB4,-19.903647,134.35893,380.6,AU
WB5,-19.8782,134.3661,396.1,AU
WB5,-19.878217,134.3662,370.9,AU
WB6,-19.855,134.367,396.0,AU
WB6,-19.854958,134.36717,364.8,AU
WB7,-19.8408,134.3792,416.0,AU
WB7,-19.840808,134.37946,353.2,AU
WB8,-19.8139,134.3807,389.0,AU
WB8,-19.813942,134.38079,356.1,AU
WB9,-19.7914,134.3838,391.0,AU
WB9,-19.791389,134.38397,360.0,AU
WC1,-19.924336,134.33905,392.0,AU
WC2,-19.925378,134.36545,375.0,AU
WC3,-19.958742,134.37194,382.1,AU
WC4,-19.961928,134.33973,387.5,AU
WR1,-19.9426,134.3394,419.0,AU
WR1,-19.942589,134.33951,388.8,AU
WR10,-19.959661,134.54053,353.0,AU
WR2,-19.9468,134.3622,415.0,AU
WR2,-19.946861,134.36238,385.4,AU
WR3,-19.9485,134.3868,401.0,AU
WR3,-19.948503,134.38691,376.5,AU
WR4,-19.9503,134.4065,400.0,AU
WR4,-19.950317,134.40661,374.4,AU
WR5,-19.9521,134.4301,395.0,AU
WR5,-19.952172,134.43037,364.2,AU
WR6,-19.9543,134.4538,382.0,AU
WR6,-19.954228,134.45305,356.5,AU
WR7,-19.9552,134.4759,382.0,AU
WR7,-19.955192,134.47602,354.8,AU
WR8,-19.9557,134.5002,400.0,AU
WR8,-19.955794,134.50051,367.1,AU
WR9,-19.9577,134.5148,383.0,AU
WR9,-19.957653,134.51492,360.2,AU
