# Lon,Lat,Depth
135.502869,-21.493250,48.0
135.503091,-21.403318,47.2
135.503867,-21.088556,43.9
135.503978,-21.043590,44.1
135.504310,-20.908693,45.3
135.504976,-20.638897,49.4
135.505419,-20.459033,51.0
135.505530,-20.414067,50.9
135.506084,-20.189237,50.0
135.506306,-20.099305,50.3
135.506639,-19.964408,50.1
135.507415,-19.649646,50.7
135.507636,-19.559714,50.9
135.508080,-19.379850,52.4
135.508634,-19.155020,54.0
135.509078,-18.975157,53.0
135.509300,-18.885225,51.1
135.510076,-18.570463,51.0
135.510408,-18.435565,51.0
135.510630,-18.345633,51.2
135.511184,-18.120803,51.0
135.511628,-17.940940,53.8
135.512049,-17.770069,53.1
135.512404,-17.626178,52.3
135.512737,-17.491280,51.2
135.512958,-17.401348,51.9
136.013171,-21.611969,45.7
136.012787,-21.522038,45.0
136.012595,-21.477072,45.0
136.011058,-21.117347,43.2
136.010866,-21.072381,42.3
136.010290,-20.937484,40.9
136.008754,-20.577759,42.1
136.008369,-20.487827,43.1
136.008177,-20.442862,44.0
136.006641,-20.083136,46.0
136.006257,-19.993205,44.9
136.005873,-19.903273,45.2
136.004720,-19.633479,50.6
136.004336,-19.543548,51.0
136.003568,-19.363685,51.0
136.002223,-19.048926,51.8
136.001839,-18.958994,51.3
136.001455,-18.869063,51.1
136.000495,-18.644234,52.7
136.000111,-18.554303,52.6
135.999726,-18.464372,51.9
135.997998,-18.059681,50.6
135.997614,-17.969749,49.8
135.997229,-17.879818,47.9
135.996269,-17.654989,47.8
135.996077,-17.610024,46.8
135.995885,-17.565058,46.0
136.483588,-21.562874,41.2
136.483890,-21.517909,42.5
136.484494,-21.427979,42.0
136.486609,-21.113223,38.0
136.487213,-21.023293,38.0
136.487817,-20.933363,38.8
136.489931,-20.618608,40.5
136.490838,-20.483712,41.0
136.491442,-20.393782,44.0
136.493556,-20.079027,45.3
136.494462,-19.944131,44.4
136.495067,-19.854201,44.9
136.496577,-19.629376,49.3
136.497483,-19.494481,47.6
136.497785,-19.449516,45.8
136.500202,-19.089795,43.0
136.500504,-19.044830,43.0
136.501108,-18.954900,43.4
136.503827,-18.550214,47.9
136.504431,-18.460284,48.0
136.505035,-18.370354,47.2
136.507149,-18.055598,46.9
136.507754,-17.965668,47.1
136.508358,-17.875738,48.2
136.510170,-17.605947,44.0
136.510774,-17.516017,43.8
136.511378,-17.426087,43.8
136.992161,-21.591986,39.7
136.992310,-21.502054,39.4
136.992459,-21.412122,40.1
136.992981,-21.097360,41.1
136.993131,-21.007428,42.4
136.993280,-20.917496,41.3
136.993877,-20.557767,40.0
136.994100,-20.422869,39.2
136.994175,-20.377903,39.1
136.994623,-20.108107,43.0
136.994697,-20.063141,43.2
136.994846,-19.973209,43.6
136.995443,-19.613481,47.4
136.995518,-19.568515,47.9
136.995742,-19.433617,44.1
136.996339,-19.073888,42.3
136.996488,-18.983956,44.0
136.996637,-18.894024,45.2
136.997085,-18.624228,44.7
136.997159,-18.579262,44.0
136.997458,-18.399398,44.3
136.997905,-18.129602,41.8
136.998054,-18.039670,40.0
136.998204,-17.949738,40.1
136.998726,-17.634975,44.5
136.998875,-17.545043,44.9
136.999024,-17.455111,44.3
137.508504,-21.591616,40.1
137.508392,-21.501684,39.0
137.508280,-21.411752,38.9
137.507888,-21.096989,39.2
137.507832,-21.052023,38.4
137.507664,-20.917125,36.0
137.507272,-20.602363,46.1
137.507048,-20.422499,47.9
137.506992,-20.377533,47.8
137.506657,-20.107736,48.0
137.506489,-19.972838,48.0
137.506377,-19.882906,47.8
137.506041,-19.613110,47.9
137.505873,-19.478211,48.7
137.505761,-19.388279,48.2
137.505481,-19.163449,48.1
137.505425,-19.118483,48.0
137.505257,-18.983585,49.1
137.505145,-18.893653,49.8
137.504921,-18.713789,51.0
137.504865,-18.668822,51.2
137.504753,-18.578890,50.9
137.504193,-18.129230,49.1
137.504025,-17.994332,50.6
137.503857,-17.859433,49.4
137.503577,-17.634603,44.5
137.503410,-17.499705,42.8
137.503410,-17.499705,42.5
137.995456,-21.585591,42.0
137.995270,-21.495659,41.8
137.995084,-21.405727,42.1
137.994432,-21.090965,48.0
137.994153,-20.956067,47.8
137.993966,-20.866135,47.0
137.993408,-20.596339,48.0
137.993128,-20.461441,48.9
137.992942,-20.371509,47.9
137.992384,-20.101713,49.0
137.992290,-20.056747,50.1
137.992011,-19.921849,50.7
137.991359,-19.607087,50.2
137.991266,-19.562121,50.0
137.991080,-19.472189,49.6
137.990242,-19.067495,50.0
137.990056,-18.977563,49.7
137.989963,-18.932597,49.9
137.989590,-18.752733,52.1
137.989404,-18.662801,53.1
137.989218,-18.572869,53.0
137.988287,-18.123209,51.1
137.988100,-18.033277,50.8
137.987914,-17.943345,49.9
137.987169,-17.583617,44.0
137.986983,-17.493685,43.6
137.986797,-17.403753,45.0
138.491064,-21.643582,46.7
138.491009,-21.553650,48.3
138.490900,-21.373786,47.4
138.490735,-21.103989,46.6
138.490653,-20.969091,46.0
138.490598,-20.879159,46.0
138.490433,-20.609362,44.6
138.490378,-20.519430,43.7
138.490323,-20.429498,43.3
138.490131,-20.114735,45.1
138.490049,-19.979837,46.9
138.490022,-19.934871,47.0
138.489830,-19.620109,45.8
138.489775,-19.530176,46.3
138.489692,-19.395278,47.7
138.489528,-19.125482,47.0
138.489445,-18.990583,45.5
138.489391,-18.900651,45.3
138.489226,-18.630855,45.4
138.489198,-18.585889,45.0
138.489144,-18.495956,44.0
138.488924,-18.136228,49.8
138.488869,-18.046296,47.4
138.488814,-17.956363,45.8
138.488787,-17.911397,46.1
139.003317,-21.578932,38.0
139.003291,-21.444034,39.0
139.003274,-21.354102,41.0
139.003240,-21.174237,43.0
139.003197,-20.949407,43.2
139.003189,-20.904441,43.0
139.003138,-20.634644,47.0
139.003112,-20.499746,45.0
139.003086,-20.364848,45.0
139.003044,-20.140017,44.0
139.003027,-20.050085,45.0
139.003001,-19.915187,48.0
139.002950,-19.645390,46.0
139.002933,-19.555458,45.0
139.002898,-19.375594,45.0
139.002847,-19.105797,40.0
139.002821,-18.970899,40.0
139.002796,-18.836001,43.0
